Wavelength,Spectra 1,Spectra 2,Spectra 3,Spectra 4,Spectra 5
639,0.999188,0.986103,0.970522,0.999858,0.984729
640,0.999126,0.986331,0.971088,0.999903,0.984994
641,0.999058,0.986457,0.971663,0.99991,0.985346
642,0.999189,0.986674,0.972059,0.999918,0.985484
643,0.999355,0.986841,0.972408,0.999925,0.98549
644,0.999401,0.986902,0.972841,0.999924,0.985528
645,0.999363,0.987029,0.973428,0.999937,0.985836
646,0.999325,0.987305,0.973881,0.999789,0.986116
647,0.999288,0.987577,0.974232,0.999721,0.98635
648,0.999261,0.98768,0.974637,0.999971,0.986597
649,0.999235,0.987844,0.975223,1,0.986791
650,0.999188,0.98794,0.975668,0.9999,0.98698
651,0.999154,0.988,0.975974,0.999791,0.987165
652,0.999121,0.988212,0.976469,0.999805,0.987301
653,0.999107,0.988387,0.976953,0.999928,0.987526
654,0.999085,0.988475,0.977286,0.999983,0.987694
655,0.999063,0.988532,0.97753,0.99987,0.987769
656,0.999041,0.988834,0.978312,0.99979,0.988187
657,0.999014,0.989025,0.978696,0.999679,0.988311
658,0.999006,0.989098,0.978872,0.999644,0.988483
659,0.998997,0.989232,0.97948,0.999811,0.988655
660,0.998989,0.989497,0.980024,0.999815,0.988931
661,0.998957,0.989858,0.980517,0.99982,0.98926
662,0.998902,0.990219,0.981027,1,0.989694
663,0.998846,0.990424,0.981634,0.999922,0.990123
664,0.998791,0.990645,0.982321,0.999876,0.990415
665,0.99872,0.990885,0.982826,0.999832,0.990674
666,0.998506,0.991153,0.983047,0.999732,0.99103
667,0.998523,0.991659,0.983663,0.999721,0.991447
668,0.998628,0.992132,0.984475,0.999836,0.9919
669,0.998675,0.992497,0.985258,0.999924,0.992323
670,0.998683,0.992832,0.985818,0.999932,0.992644
671,0.998692,0.993267,0.986506,0.99994,0.993032
672,0.99881,0.993807,0.987216,0.999948,0.993479
673,0.99876,0.994309,0.987842,0.999967,0.993927
674,0.998729,0.994394,0.988399,0.99975,0.994281
675,0.998591,0.994583,0.988776,0.99965,0.994541
676,0.998561,0.995049,0.989246,0.999737,0.994943
677,0.998816,0.995713,0.99005,0.999918,0.995634
678,0.998865,0.995937,0.990618,0.999945,0.995948
679,0.998914,0.996184,0.991187,0.999973,0.996213
680,0.999145,0.99661,0.991782,1,0.996588
681,0.999145,0.997049,0.992228,1,0.997031
682,0.999191,0.997464,0.992768,1,0.99736
683,0.999351,0.997877,0.9934,1,0.997643
684,0.99956,0.998272,0.994049,1,0.997965
685,0.999592,0.998462,0.994572,0.999773,0.998327
686,0.999624,0.998735,0.995112,0.999695,0.998634
687,0.999656,0.999028,0.995603,0.99984,0.998918
688,1,0.999188,0.995949,1,0.999219
689,1,0.999445,0.996422,0.999848,0.99927
690,1,0.999549,0.996821,0.99977,0.999308
691,1,0.999648,0.997131,0.999901,0.999495
692,1,0.999747,0.997575,0.999957,0.999852
693,1,0.999843,0.997967,1,0.999929
694,1,0.999908,0.99825,1,0.999849
695,0.999939,1,0.998482,0.999943,0.999831
696,1,0.999956,0.998963,0.999845,1
697,1,0.999858,0.999209,0.999931,1
698,0.999907,0.999833,0.999234,1,1
699,0.99986,0.999919,0.999334,0.999856,1
700,1,1,0.999755,0.999934,1
701,1,1,1,0.999941,1
702,0.999905,0.999985,0.999916,0.999824,0.999971
703,0.999875,0.999868,0.999885,0.999967,0.999834
704,0.999941,0.999931,0.999988,1,0.999929
705,1,1,1,0.999937,1
706,0.999977,0.999933,0.99987,0.999812,1
707,0.999916,0.999928,0.999989,0.999877,1
708,0.99997,1,1,0.99998,1
709,1,1,1,1,1
710,1,1,1,0.999984,0.999922
711,1,1,1,1,0.999979
712,1,1,1,1,1
713,1,1,1,1,0.999958
714,1,1,1,1,1
715,1,1,1,0.999935,1
716,1,1,0.999968,0.999816,1
717,1,0.999875,0.999796,0.999833,1
718,1,1,1,1,1
719,1,1,1,1,1
720,0.999664,1,0.999896,1,0.999779
721,0.999722,1,0.99982,1,0.999838
722,0.999951,1,0.999989,1,1
723,0.999967,1,1,0.999981,1
724,0.999984,0.999783,0.999852,0.9997,0.999885
725,1,1,1,0.999985,1
726,1,1,0.999944,1,0.999951
727,0.99981,0.999986,0.999826,0.999984,0.999802
728,0.999767,0.999865,1,0.999968,0.999918
729,0.999868,0.999854,1,0.999952,1
730,0.999974,0.99995,1,0.999879,1
731,1,1,1,0.99974,0.99996
732,1,0.99992,1,1,1
733,1,0.999767,1,1,1
734,1,0.999558,1,1,0.999959
735,1,0.999333,1,1,0.999886
736,1,0.999216,0.99998,1,0.999784
737,0.999943,0.998941,0.99975,0.999991,0.999531
738,0.999849,0.998607,0.999541,0.999891,0.999286
739,0.999954,0.998351,0.999526,0.999797,0.999173
740,1,0.998013,0.999281,0.999995,0.998868
741,0.999854,0.997423,0.999001,1,0.998385
742,0.999737,0.996677,0.998729,0.999927,0.997863
743,0.99962,0.996023,0.998385,0.999918,0.99748
744,0.999503,0.995317,0.997802,0.999796,0.996943
745,0.999437,0.994655,0.997215,0.999726,0.996311
746,0.99937,0.994076,0.996737,0.999797,0.995717
747,0.999303,0.993498,0.996213,0.999929,0.995342
748,0.999225,0.992602,0.995607,1,0.994757
749,0.998784,0.991524,0.994932,0.999927,0.993949
750,0.998167,0.990506,0.994203,0.99983,0.993063
751,0.997878,0.989673,0.993387,0.999734,0.992335
752,0.997706,0.988828,0.992471,0.999693,0.991467
753,0.997458,0.987867,0.991599,0.999503,0.990471
754,0.996986,0.986755,0.990926,0.999388,0.989529
755,0.996353,0.985453,0.98998,0.99928,0.988525
756,0.995839,0.984314,0.988965,0.999223,0.98765
757,0.995507,0.983342,0.987971,0.999161,0.986821
758,0.995108,0.982019,0.986833,0.998895,0.985557
759,0.994492,0.98055,0.985757,0.998548,0.984334
760,0.993917,0.979281,0.984806,0.998459,0.983288
761,0.993523,0.978301,0.98385,0.998369,0.982312
762,0.992755,0.976871,0.982296,0.997852,0.980825
763,0.991952,0.975126,0.980868,0.997457,0.979413
764,0.991306,0.973427,0.979688,0.997285,0.978217
765,0.99081,0.972123,0.978548,0.997106,0.977078
766,0.989711,0.97063,0.977333,0.996541,0.975554
767,0.988789,0.969028,0.975932,0.995982,0.97409
768,0.988213,0.96741,0.974396,0.995619,0.972743
769,0.987365,0.965821,0.972938,0.995331,0.971087
770,0.986664,0.964341,0.971521,0.995001,0.969626
771,0.985782,0.962587,0.970118,0.994466,0.968177
772,0.98458,0.960507,0.968671,0.993757,0.966571
773,0.983712,0.959091,0.967051,0.993377,0.965025
774,0.982827,0.957496,0.965475,0.992976,0.963409
775,0.981878,0.955593,0.963974,0.992478,0.961749
776,0.980918,0.953588,0.962491,0.991919,0.960108
777,0.97991,0.951893,0.96095,0.991322,0.958393
778,0.978862,0.950044,0.959328,0.990836,0.956796
779,0.977735,0.947961,0.95763,0.990333,0.955176
780,0.976474,0.945944,0.955888,0.989514,0.953175
781,0.975404,0.944205,0.954181,0.988925,0.951507
782,0.974327,0.942353,0.952472,0.988245,0.949772
783,0.973166,0.940234,0.950777,0.98741,0.947801
784,0.972188,0.938262,0.949237,0.987031,0.946115
785,0.971314,0.93643,0.947642,0.986646,0.944477
786,0.970068,0.934504,0.945872,0.985919,0.942634
787,0.968265,0.932353,0.943955,0.984824,0.940515
788,0.9671,0.930473,0.942277,0.984222,0.938681
789,0.966015,0.928412,0.940534,0.983565,0.936727
790,0.964823,0.926222,0.938676,0.982717,0.934727
791,0.963566,0.924201,0.936839,0.981833,0.932976
792,0.962208,0.922135,0.935294,0.981235,0.93123
793,0.960881,0.920118,0.933616,0.980613,0.929276
794,0.959577,0.918061,0.931688,0.979812,0.927157
795,0.95813,0.91567,0.929825,0.978941,0.925187
796,0.956896,0.91357,0.927941,0.978186,0.923365
797,0.955607,0.911581,0.926121,0.977347,0.921416
798,0.954134,0.909515,0.924416,0.976383,0.919256
799,0.953018,0.907607,0.922753,0.975874,0.91742
800,0.951615,0.905353,0.921006,0.974942,0.915421
801,0.949985,0.902989,0.919133,0.973856,0.913367
802,0.948452,0.900913,0.917198,0.973152,0.911491
803,0.947241,0.898932,0.915561,0.972564,0.909566
804,0.945957,0.896814,0.913985,0.971781,0.907659
805,0.944529,0.894593,0.912237,0.970799,0.905707
806,0.943131,0.892488,0.910175,0.969826,0.903583
807,0.941618,0.89042,0.908185,0.968668,0.901493
808,0.94003,0.888232,0.906403,0.967735,0.899474
809,0.938542,0.886014,0.904829,0.967134,0.897522
810,0.937448,0.884178,0.903321,0.966475,0.895599
811,0.9361,0.881966,0.901552,0.965585,0.893662
812,0.934577,0.879738,0.899699,0.964508,0.891671
813,0.933074,0.877832,0.897972,0.96342,0.889644
814,0.931574,0.875839,0.89634,0.962673,0.887726
815,0.930268,0.873795,0.894672,0.961896,0.885869
816,0.928932,0.871707,0.892908,0.960946,0.883911
817,0.927323,0.869611,0.891105,0.959844,0.881788
818,0.925945,0.867689,0.889692,0.958868,0.880151
819,0.924402,0.865608,0.888116,0.958022,0.878295
820,0.922741,0.863454,0.886304,0.957192,0.876216
821,0.921337,0.861571,0.884583,0.956227,0.874417
822,0.920111,0.859562,0.883132,0.95549,0.872567
823,0.918674,0.857482,0.881527,0.954498,0.870579
824,0.91704,0.855455,0.879718,0.953266,0.868571
825,0.915785,0.853602,0.878236,0.95256,0.866867
826,0.914527,0.851774,0.876784,0.951821,0.865128
827,0.913078,0.849805,0.875142,0.950748,0.863213
828,0.911448,0.847707,0.873323,0.949398,0.86115
829,0.909985,0.845928,0.871866,0.948523,0.859259
830,0.908569,0.843934,0.870255,0.947635,0.857413
831,0.907236,0.84195,0.868696,0.946869,0.855752
832,0.906026,0.840311,0.867481,0.946356,0.854352
833,0.90482,0.83863,0.866187,0.945325,0.85274
834,0.903404,0.83668,0.864718,0.944265,0.850905
835,0.901899,0.834689,0.863143,0.943301,0.849031
836,0.900584,0.833066,0.86163,0.942322,0.84737
837,0.899089,0.831269,0.860222,0.941508,0.845659
838,0.89774,0.829343,0.858841,0.940648,0.844109
839,0.89655,0.827469,0.857434,0.939736,0.84261
840,0.895157,0.825876,0.85599,0.938996,0.840714
841,0.893839,0.824204,0.854552,0.938008,0.839061
842,0.892593,0.822521,0.853293,0.936992,0.83747
843,0.891332,0.820884,0.852198,0.936126,0.835819
844,0.889923,0.819187,0.850885,0.935285,0.834381
845,0.888713,0.817612,0.84961,0.934519,0.832952
846,0.887568,0.81601,0.84839,0.933708,0.831476
847,0.886313,0.814284,0.847173,0.932761,0.829946
848,0.885093,0.812781,0.845894,0.93181,0.828381
849,0.8839,0.811166,0.84461,0.930875,0.82678
850,0.88262,0.809545,0.843393,0.930022,0.825198
851,0.881198,0.808131,0.842291,0.929294,0.823712
852,0.880086,0.806632,0.841174,0.928547,0.822417
853,0.87912,0.80522,0.840079,0.927764,0.82111
854,0.878095,0.803823,0.838954,0.926943,0.819704
855,0.876851,0.802245,0.837721,0.926101,0.818236
856,0.875703,0.800819,0.836618,0.925296,0.816835
857,0.874512,0.799399,0.835662,0.924475,0.815501
858,0.873237,0.797908,0.834707,0.923639,0.814188
859,0.872016,0.796419,0.833495,0.922867,0.812826
860,0.871063,0.795119,0.832494,0.922374,0.81158
861,0.870096,0.793917,0.831562,0.921673,0.810362
862,0.869012,0.792691,0.830597,0.920669,0.80912
863,0.868193,0.791372,0.829776,0.920151,0.807955
864,0.867116,0.789998,0.828666,0.919538,0.806745
865,0.86593,0.788642,0.827551,0.918661,0.805483
866,0.864884,0.787385,0.826718,0.917656,0.80422
867,0.863997,0.786317,0.825922,0.917204,0.803069
868,0.86304,0.785116,0.825189,0.916545,0.801991
869,0.862038,0.783805,0.82443,0.91585,0.800962
870,0.861077,0.782552,0.823585,0.915416,0.799943
871,0.860027,0.78153,0.822842,0.914536,0.798858
872,0.859042,0.780407,0.822034,0.913699,0.797637
873,0.858203,0.779227,0.821115,0.912986,0.79639
874,0.857481,0.77821,0.820168,0.912264,0.795312
875,0.856543,0.777187,0.819506,0.911757,0.794467
876,0.855588,0.776034,0.818892,0.911231,0.793568
